Time (unixtime),CURRENT_VELOCITY,CURRENT_POSITION,REMAINING_STEPS,STACK_VOLTAGE,EXTERNAL_VOLTAGE,CURRENT_CONSUMPTION,CHECKSUM
1594905247.569106,0,0,0,372,12029,225,0x0
1594905247.5828826,0,0,0,354,12029,225,0x32
1594905247.5984542,0,0,0,363,12020,225,0x37
1594905247.6118228,0,0,0,372,12020,225,0x32
1594905247.625332,0,0,0,372,12020,225,0x7
1594905247.638626,0,0,0,363,12020,225,0xb
1594905247.6522353,0,0,0,363,12029,225,0x3b
1594905247.6657753,0,0,0,363,12037,225,0x31
1594905247.6820014,0,0,0,372,12037,225,0x3b
1594905247.7007945,0,0,0,363,12020,225,0x3c
1594905247.7144341,0,0,0,372,12029,225,0x3d
1594905247.7274644,0,0,0,372,12011,225,0x36
1594905247.745561,0,0,0,363,12011,225,0x2
1594905247.760679,0,0,0,372,12011,225,0xf
1594905247.7764277,0,0,0,363,12020,225,0x34
1594905247.789672,0,0,0,363,12029,225,0x8
1594905247.8031702,0,0,0,372,12011,225,0x39
1594905247.826297,0,0,0,372,12020,225,0x4
1594905247.8395712,0,0,0,363,12020,225,0x37
1594905247.8532135,0,0,0,363,12037,225,0x39
1594905247.8666322,0,0,0,372,12037,225,0x3f
1594905247.8802538,0,0,0,363,12020,225,0x38
1594905247.8932893,0,0,0,363,12020,225,0x36
1594905247.906762,0,0,0,363,12011,225,0xa
1594905247.9202268,0,0,0,363,12037,225,0x37
1594905247.933893,0,0,0,372,12037,225,0x9
1594905247.9480667,0,0,0,363,12029,225,0x3f
1594905247.9614987,0,0,0,372,12020,225,0x38
1594905247.9748023,0,0,0,363,12011,225,0x35
1594905247.9882655,0,0,0,363,12011,225,0x3b
1594905248.001531,0,0,0,363,12020,225,0xd
1594905248.0148437,0,0,0,372,12037,225,0x30
1594905248.0283809,0,0,0,363,12037,225,0x35
1594905248.04266,0,0,0,372,12020,225,0x3d
1594905248.0561686,0,0,0,363,12037,225,0x37
1594905248.0693328,0,0,0,363,12020,225,0x3e
1594905248.0840716,0,0,0,363,12020,225,0x37
1594905248.097241,0,0,0,363,12020,225,0x2
1594905248.1105108,0,0,0,372,12020,225,0x37
1594905248.124021,0,0,0,363,12011,225,0xd
1594905248.137686,0,0,0,363,12029,225,0xf
1594905248.1520498,0,0,0,363,12020,225,0x38
1594905248.1655357,0,0,0,372,12029,225,0x34
1594905248.1794314,0,0,0,363,12029,225,0x3f
1594905248.192993,0,0,0,363,12029,225,0xb
1594905248.2059848,0,0,0,363,12002,225,0x31
1594905248.219366,0,0,0,363,12020,225,0x2
1594905248.2329154,0,0,0,363,12020,225,0x31
1594905248.246213,0,0,0,363,12029,225,0x2
1594905248.2595985,0,0,0,363,12011,225,0x36
1594905248.2729514,0,0,0,363,12029,225,0x3c
1594905248.2886825,0,0,0,363,12011,225,0x32
1594905248.3022277,0,0,0,363,12011,225,0x38
1594905248.3154116,0,0,0,363,12020,225,0x3e
1594905248.3284938,0,0,0,363,12029,225,0x3d
1594905248.3415296,0,0,0,354,12029,225,0x38
1594905248.3548815,0,0,0,372,12037,225,0x3b
1594905248.3682678,0,0,0,372,12037,225,0x3b
1594905248.382255,0,0,0,372,12020,225,0x0
1594905248.3956,0,0,0,363,12011,225,0x0
1594905248.4087992,0,0,0,372,12020,225,0x32
1594905248.4220862,0,0,0,363,12020,225,0x33
1594905248.4353666,0,0,0,363,12011,225,0x3e
1594905248.448795,0,0,0,363,12029,225,0x1
1594905248.4623926,0,0,0,372,12020,225,0x35
1594905248.4760873,0,0,0,363,12020,225,0x32
1594905248.4908383,0,0,0,363,12011,225,0x34
1594905248.5045419,0,0,0,363,12029,225,0x3a
1594905248.5181382,0,0,0,363,12011,225,0x3d
1594905248.5319595,0,0,0,363,12020,225,0x3c
1594905248.5453103,0,0,0,363,12020,225,0x3e
1594905248.5588377,0,0,0,363,12029,225,0x31
1594905248.5722952,0,0,0,372,12046,225,0x37
1594905248.586016,0,0,0,363,12011,225,0x5
1594905248.5995994,0,0,0,363,12020,225,0x3f
1594905248.6134326,0,0,0,363,12011,225,0x3e
1594905248.6267276,0,0,0,363,12011,225,0x3f
1594905248.6401227,0,0,0,363,12029,225,0x36
1594905248.6533005,0,0,0,363,12011,225,0x3f
1594905248.666498,0,0,0,372,12020,225,0x8
1594905248.6801426,0,0,0,372,12020,225,0x34
1594905248.695558,0,0,0,363,12020,225,0x9
1594905248.7088675,0,0,0,363,12011,225,0x3a
1594905248.7221043,0,0,0,363,12002,225,0x3a
1594905248.7351656,0,0,0,363,12011,225,0x3c
1594905248.748325,0,0,0,363,12046,225,0x4
1594905248.761788,0,0,0,363,12020,225,0xc
1594905248.774996,0,0,0,372,12020,225,0x9
1594905248.7882266,0,0,0,363,12029,225,0x35
1594905248.8020103,0,0,0,363,12037,225,0x35
1594905248.8155673,0,0,0,363,12046,225,0x30
1594905248.82918,0,0,0,363,12029,225,0x38
1594905248.8424292,0,0,0,363,12029,225,0x31
1594905248.8560743,0,0,0,363,12020,225,0x30
1594905248.8697684,0,0,0,363,12020,225,0x31
1594905248.883405,0,0,0,363,12029,225,0x0
1594905248.8974283,0,0,0,363,12020,225,0x30
1594905248.910731,0,0,0,363,12037,225,0x0
1594905248.924352,0,0,0,363,12011,225,0x2
1594905248.9399722,0,0,0,372,12020,225,0x36
1594905248.9550695,0,0,0,372,12046,225,0x38
1594905248.968441,0,0,0,363,12037,225,0xb
1594905248.9817078,0,0,0,363,12020,225,0x33
1594905248.9951262,0,0,0,363,12029,225,0x30
1594905249.0081294,0,0,0,363,12020,225,0x3c
1594905249.0214398,0,0,0,363,12011,225,0x3d
1594905249.035312,0,0,0,354,12002,225,0x8
1594905249.048631,0,0,0,363,12020,225,0x2
1594905249.0620472,0,0,0,363,12020,225,0x3f
1594905249.0754485,0,0,0,363,12020,225,0x35
1594905249.0885837,0,0,0,363,12046,225,0x33
1594905249.1019456,0,0,0,363,12029,225,0x3d
1594905249.1153042,0,0,0,372,12020,225,0x3a
1594905249.1285286,0,0,0,363,12020,225,0x38
1594905249.1419413,0,0,0,363,12046,225,0x31
1594905249.1556833,0,0,0,363,12037,225,0x33
1594905249.169013,0,0,0,363,12020,225,0x6
1594905249.1821015,0,0,0,363,12020,225,0x34
1594905249.1952684,0,0,0,372,12037,225,0x39
1594905249.2098403,0,0,0,372,12029,225,0x37
1594905249.2235658,0,0,0,354,12037,225,0x35
1594905249.237344,0,0,0,363,12046,225,0xf
1594905249.2514882,0,0,0,363,12046,225,0x3a
1594905249.2651148,0,0,0,363,12029,225,0x3e
1594905249.2794209,0,0,0,363,12020,225,0x39
1594905249.2926943,0,0,0,363,12020,225,0x3b
1594905249.3060954,0,0,0,363,12029,225,0x3e
1594905249.3197083,0,0,0,354,12020,225,0x39
1594905249.3332124,0,0,0,363,12020,225,0x3c
1594905249.3464198,0,0,0,363,12020,225,0x3f
1594905249.359445,0,0,0,363,12046,225,0x0
1594905249.3728633,0,0,0,363,12029,225,0x3b
1594905249.38611,0,0,0,363,12020,225,0x37
1594905249.3995156,0,0,0,363,12029,225,0x37
1594905249.4145045,0,0,0,372,12020,225,0x3f
1594905249.4277155,0,0,0,372,12020,225,0x3d
1594905249.441059,0,0,0,354,12037,225,0x5
1594905249.454908,0,0,0,372,12002,225,0xe
1594905249.4691541,0,0,0,363,12029,225,0x39
1594905249.4831464,0,0,0,363,12029,225,0x3b
1594905249.497047,0,0,0,363,12046,225,0x3
1594905249.5111022,0,0,0,363,12029,225,0x37
1594905249.524633,0,0,0,363,12020,225,0xf
1594905249.5387123,0,0,0,372,12029,225,0x3a
1594905249.5518248,0,0,0,372,12011,225,0x3f
1594905249.5654314,0,0,0,363,12011,225,0x3c
1594905249.579527,0,0,0,363,12020,225,0x1
1594905249.5928984,0,0,0,363,12020,225,0x39
1594905249.6063035,0,0,0,354,12020,225,0x3b
1594905249.6194935,0,0,0,354,12029,225,0x32
1594905249.6331346,0,0,0,363,12029,225,0x35
1594905249.6464386,0,0,0,363,12011,225,0x35
1594905249.6600556,0,0,0,354,12020,225,0x38
1594905249.6734009,0,0,0,363,12029,225,0x3c
1594905249.6870897,0,0,0,363,12011,225,0x37
1594905249.7001438,0,0,0,363,12020,225,0x33
